pitcher_id,pitcher_trackman_id,global_cost
20700,74359,0.5691832
21279,67989,0.472597
21372,68928,1.1090302
21558,69745,0.99110746
21595,64615,0.73087096
21622,52901,1.1280229
21699,65643,1.3566164
21754,63111,0.64806825
21795,69435,0.7140275
21830,78352,0.8509805
21840,62146,1.3257964
21874,64580,0.98066384
21875,50900,1.0395029
21916,65320,-0.06072133
21955,607200,0.56086564
21961,64021,0.35148665
21991,69159,1.0962279
21994,60337,1.3269454
21998,51715,0.89905804
22028,78517,1.0663562
22029,69054,0.7288683
22110,99445,0.6950601
22118,76118,0.9095407
22131,50992,1.0352024
22143,66609,1.272551
22154,65665,0.4848528
22156,66990,0.4064533
22192,68900,0.28694472
22201,65058,2.0708432
22220,64718,0.6680918
22231,74513,1.6507404
22233,68249,1.7945871
22250,60140,1.4324026
22277,68419,0.7474791
22278,77927,0.20737523
22280,67266,1.1139054
22302,67419,0.78560865
22311,66018,1.0674511
22321,63104,0.72849613
22335,69969,0.76842386
22368,61365,0.91189563
22380,656212,1.0427006
22389,53613,0.7847646
22397,641855,0.55397326
22435,66920,0.7226208
22469,543557,0.6123779
22487,61457,0.6941766
22508,61156,1.5788828
22524,65042,0.80435675
22525,69974,1.2958524
22541,62951,1.6535387
22547,73117,0.31367666
22551,67737,2.2993464
22579,62648,2.2679954
22595,65398,1.429809
22598,51901,0.83232677
22615,64047,0.75580007
22617,65060,1.11414
22621,51301,0.6942414
22622,77563,0.94071865
22624,51516,0.41078904
22640,60146,1.2210357
22666,62242,1.4067467
22667,657122,1.1269917
22668,543594,0.5323767
22703,69656,0.16353574
22717,641149,0.85050464
22721,532936,1.0349802
22729,76650,0.38713413
22731,69134,1.6462216
22734,60845,0.9932525
22735,65933,0.5744311
22741,69168,1.6853536
22743,61145,0.25473464
22759,77637,0.45135164
22772,64051,0.8068576
22782,66291,0.17178589
22784,66039,1.6357387
22795,594902,1.723898
22815,61411,2.09569
22890,65769,0.12114041
22908,50157,0.41497767
22911,69620,0.9900041
22922,67119,1.1347063
22923,67640,0.6337945
22926,649963,0.7936448
22996,61643,0.763661
23024,65696,0.45145273
23035,65516,0.50396186
23082,69104,1.5634308
23090,78366,0.20739149
23092,61295,0.9333753
23097,595001,0.8479193
23151,79825,1.5578667
23157,53139,1.7295171
23158,73738,1.8449354
23190,64350,0.7663712
23206,534648,0.6476375
23225,51454,0.39092755
23229,68415,1.1290693
23235,67956,0.76087695
23258,64267,2.0380964
23288,50705,0.24830975
23289,63765,0.69498676
23307,599683,0.8017578
23312,79764,0.78202707
23331,50203,2.1659126
23332,72447,0.72977215
23334,76329,0.82138985
23336,77263,1.5695108
23347,51648,0.35092005
23360,51393,0.8751268
23363,67828,0.6023103
23411,518445,0.4573929
23422,50449,0.58715034
23437,63749,1.3028221
23439,62611,1.2799227
23484,69996,2.0940936
23488,571035,4.226296
23500,68585,0.74950475
23501,69550,0.6177276
23502,72862,1.8108854
23515,69399,1.1066104
23518,68341,0.6078465
23519,69328,2.8962486
23536,65206,0.72735846
23540,63959,0.9913632
23557,61329,0.422631
23558,68097,1.5357814
23564,53914,0.52693164
23565,68910,0.45898813
23567,60181,2.1648257
23568,73248,0.8757043
23590,65062,0.113204084
23596,69047,1.1588101
23599,75342,2.4907064
23624,50911,2.1827066
23627,64805,1.4306862
23630,72523,1.2483509
23632,79358,0.930103
23633,77446,0.14582402
23634,63960,0.24932617
23638,67421,0.5389044
23640,65937,2.097547
23644,68403,1.3290712
23650,621245,1.0415156
23654,74630,0.4824461
23655,548384,0.1341245
23665,79545,0.33992252
23673,60634,0.753363
23690,70425,1.2197082
23694,79229,0.4728317
23696,68240,0.57246214
23697,61214,0.655227
23713,67603,0.6251881
23719,518852,0.0187306
23727,63930,1.6612076
23737,67944,0.8752578
23745,65764,-0.047824964
23748,606162,1.0366564
23749,64760,0.9935495
23759,543184,0.68274677
23761,63991,1.3867023
23765,69934,3.0397482
23766,75258,0.6687025
23772,65057,0.500291
23783,65109,1.9171982
23784,76455,0.91293097
23785,78148,1.7196208
23843,69041,0.77079874
23848,67391,0.1894711
23852,50464,1.5624901
23853,75421,-0.04832522
23860,67443,0.7700667
23870,60336,1.1346512
23871,63342,0.8106353
23874,51359,3.0141594
23879,52391,0.807795
23895,66630,2.9605408
23897,623381,0.41015726
23903,68902,0.33590075
23904,50901,2.112082
23910,67962,1.9849409
23915,664641,0.43953818
23921,52530,1.1632229
23929,76355,0.93673253
23943,63292,2.9939082
23944,69994,0.55438894
23950,69984,1.0082831
23951,50995,0.42188552
23964,676641,1.8674158
23977,65707,1.6010997
23979,74857,0.38016087
23988,605498,0.82015127
24013,62920,0.45721763
24018,66451,0.60236895
24021,69446,1.1887245
24038,50662,0.31654948
24042,605156,1.2820156
24043,68659,1.170426
24051,62966,1.4417748
24063,61268,0.70316595
24097,68703,1.3787723
24099,66068,0.45618722
24100,51994,0.53069437
24105,62929,0.92628574
24109,68905,1.0276046
24113,68242,3.399033
24115,67539,0.42331925
24117,79293,0.598375
24129,67246,0.77392614
24140,621141,0.9699509
24146,502010,0.56541544
24151,64596,0.7929539
24152,65496,0.98511106
24153,50430,1.1698412
24169,67954,1.8998857
24179,543001,0.49771947
24183,67703,2.2765183
24222,641312,0.99537706
24223,63894,0.95278794
24224,52902,1.0277021
24226,64995,1.1101419
24229,52905,2.0411923
24234,63914,0.4884551
24239,571616,0.34010714
24252,69113,1.9117208
24253,67143,0.80852795
24259,73801,2.424797
24265,658792,0.71651286
